Family;Species;Author;Synonyms;LocalName;FileNamePhoto;FileNameID;Comments;FigOneWidth;FigTwoWidth
Lamiaceae;Pseudocaryopteris bicolor;(Roxb. ex Hardw.) P.D.Cantino;;;Pseudocaryopteris_bicolor_1.jpg;Pseudocaryopteris_bicolor_2.jpg;;;
Lardizabalaceae;Stauntonia latifolia;(Wall.) R.Br. ex Wall.;;Sausage Vine/Holboellia;Stauntonia_latifolia_1.jpg;Stauntonia_latifolia_2.jpg;;;
Lauraceae;Cinnamomum verum;J.Presl;;Cinnamon;Cinnamomum_verum_1.jpg;Cinnamomum_verum_2.jpg;;;
Lauraceae;Dodecadenia grandiflora;Nees;;;Dodecadenia_grandiflora_1,jpg;Dodecadenia_grandiflora_2,jpg;;;
Lauraceae;Lindera neesiana;(Wall. ex Nees) Kurz;;;Lindera_neesiana_1.jpg;Lindera_neesiana_2.jpg;;;
Lauraceae;Lindera pulcherrima;(Nees) Benth. ex Hook.f.;;;Lindera_pulcherrima_1.jpg;Lindera_pulcherrima_2.jpg;;;
Lauraceae;Litsea cubeba;(Lour.) Pers.;;;Litsea_cubeba_1.jpg;Litsea_cubeba_2.jpg;;;
Lauraceae;Litsea doshia;(D.Don) Kosterm.;;;Litsea_doshia_1.jpg;Litsea_doshia_2.JPG;;;
Lauraceae;Litsea monopetala;(Roxb.) Pers.;;Meda;Litsea_monopetala_1.jpg;Litsea_monopetala_2.jpg;;;
Lauraceae;Machilus duthiei;King ex Hook.f.;Persea duthiei;;Machilus_duthiei_1.jpg;Machilus_duthiei_2.jpg;;;
Lauraceae;Machilus odoratissimus;Nees;Persea odoratissima;Fragrant Bay Tree;Machilus_odoratissima_1.jpg;Machilus_odoratissima_2.jpg;;;
Lauraceae;Neolitsea umbrosa;(Nees) Gamble;;Pale Litsea;Neolitsea_umbrosa_1.jpg;Neolitsea_umbrosa_2.jpg;;;
Linaceae;Reinwardtia indica;Dumort.;;Golden Girl;Reinwardtia_indica_1.jpg;Reinwardtia_indica_2.jpg;;;
Loranthaceae;Helixanthera odorata;(Wall.) Rajasek.;;;Helixanthera_odorata_1.jpg;Helixanthera_odorata_2.jpg;;;
Loranthaceae;Helixanthera parasitica;Lour.;;;Helixanthera_parasitica_1.jpg;Helixanthera_parasitica_2.jpg;;;
Loranthaceae;Scurrula elata;(Edgew.) Danser;;Tall Mistletoe;Scurrula_elata_1.jpg;Scurrula_elata_2.jpg;;;
Magnoliaceae;Magnolia campbellii;Hook.f. \& Thomson;;Campbell’s Magnolia;Magnolia_campbellii_1.jpg;Magnolia_campbellii_2.jpg;;;
Magnoliaceae;Magnolia doltsopa;(Buch.-Ham. ex DC.) Figlar;;Temple Magnolia;Magnolia_doltsopa_1.jpeg;Magnolia_doltsopa_2.jpeg;;;
Magnoliaceae;Magnolia kisopa;(Buch.-Ham. ex DC.) Figlar;;Kisopa Magnolia;Magnolia_kisopa_1.jpg;Magnolia_kisopa_2.jpg;;;
Melastomataceae;Melastoma malabathricum;L.;;;Melastoma_malabathricum_1.jpg;Melastoma_malabathricum_2.jpg;;;
Melastomataceae;Osbeckia nepalensis;Hook.;;Nepal Osbeckia;Osbeckia_nepalensis_1.jpg;Osbeckia_nepalensis_2.jpg;;;
Melastomataceae;Osbeckia stellata;Buch.-Ham. ex D.Don;;Starry Osbeckia;Osbeckia_stellata_1.jpg;Osbeckia_nepalensis_2.jpg;;;
Melastomataceae;Oxyspora paniculata;DC.;;Bristletips;Oxyspora_paniculata_1.jpg;Oxyspora_paniculata_2.jpg;;;
Meliaceae;Melia azedarach;L.;;Chinaberry;Melia_azedarach_1.jpg;Melia_azedarach_2.jpg;;;
Meliaceae;Toona sinensis;(Juss.) M.Roem.;;Chinese Toon;Toona_sinensis_1.jpg;Toona_sinensis_2.jpg;;;
Menispermaceae;Cissampelos pareira;L.;;False Pareira Root;Cissampelos_pareira_1.jpg;Cissampelos_pareira_2.jpg;;;
Menispermaceae;Stephania gracilenta;Miers;;Slender tape vine;Stephania_gracilenta_1.jpg;Stephania_gracilenta_2.jpg;;;
Moraceae;Ficus benjamina;L.;;Weeping fig;Ficus_benjamina_1.jpeg;Ficus_benjamina_2.jpeg;;;
Moraceae;Ficus neriifolia;Sm.;;Willow leaf Ficus;Ficus_neriifolia_1.jpg;Ficus_neriifolia_2.jpg;;;
